city,year,month,aqi_us
Faisalabad,2015,1,317
Faisalabad,2015,2,287
Faisalabad,2015,3,197
Faisalabad,2015,4,161
Faisalabad,2015,5,153
Faisalabad,2015,6,149
Faisalabad,2015,7,155
Faisalabad,2015,8,164
Faisalabad,2015,9,174
Faisalabad,2015,10,217
Faisalabad,2015,11,282
Faisalabad,2015,12,304
Faisalabad,2016,1,306
Faisalabad,2016,2,275
Faisalabad,2016,3,193
Faisalabad,2016,4,161
Faisalabad,2016,5,148
Faisalabad,2016,6,143
Faisalabad,2016,7,154
Faisalabad,2016,8,162
Faisalabad,2016,9,172
Faisalabad,2016,10,209
Faisalabad,2016,11,268
Faisalabad,2016,12,292
Faisalabad,2017,1,288
Faisalabad,2017,2,263
Faisalabad,2017,3,188
Faisalabad,2017,4,157
Faisalabad,2017,5,142
Faisalabad,2017,6,134
Faisalabad,2017,7,152
Faisalabad,2017,8,159
Faisalabad,2017,9,169
Faisalabad,2017,10,203
Faisalabad,2017,11,255
Faisalabad,2017,12,274
Faisalabad,2018,1,292
Faisalabad,2018,2,265
Faisalabad,2018,3,187
Faisalabad,2018,4,157
Faisalabad,2018,5,142
Faisalabad,2018,6,137
Faisalabad,2018,7,152
Faisalabad,2018,8,161
Faisalabad,2018,9,169
Faisalabad,2018,10,201
Faisalabad,2018,11,258
Faisalabad,2018,12,272
Faisalabad,2019,1,242
Faisalabad,2019,2,226
Faisalabad,2019,3,175
Faisalabad,2019,4,151
Faisalabad,2019,5,120
Faisalabad,2019,6,112
Faisalabad,2019,7,129
Faisalabad,2019,8,153
Faisalabad,2019,9,160
Faisalabad,2019,10,185
Faisalabad,2019,11,214
Faisalabad,2019,12,232
Faisalabad,2020,1,233
Faisalabad,2020,2,212
Faisalabad,2020,3,173
Faisalabad,2020,4,141
Faisalabad,2020,5,114
Faisalabad,2020,6,108
Faisalabad,2020,7,123
Faisalabad,2020,8,147
Faisalabad,2020,9,158
Faisalabad,2020,10,180
Faisalabad,2020,11,205
Faisalabad,2020,12,225
Faisalabad,2021,1,258
Faisalabad,2021,2,234
Faisalabad,2021,3,181
Faisalabad,2021,4,154
Faisalabad,2021,5,128
Faisalabad,2021,6,123
Faisalabad,2021,7,135
Faisalabad,2021,8,154
Faisalabad,2021,9,162
Faisalabad,2021,10,191
Faisalabad,2021,11,229
Faisalabad,2021,12,248
Faisalabad,2022,1,249
Faisalabad,2022,2,227
Faisalabad,2022,3,180
Faisalabad,2022,4,152
