year,month,month_name,city,province,region,latitude,longitude,population_millions,pm25_ugm3,aqi_us,aqi_category,annual_pm25_avg_ugm3,who_guideline_ratio,is_smog_season,is_crop_burning_season,is_monsoon_season,season,covid_lockdown_period,data_source,data_quality,pakistan_national_avg_pm25,pakistan_global_rank
2015,1,January,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,266.3,317,Hazardous,145.0,53.3,1,0,0,Winter (Smog Season),0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2015,2,February,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,237.7,287,Very Unhealthy,145.0,47.5,1,0,0,Winter (Smog Season),0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2015,3,March,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,145.0,197,Unhealthy,145.0,29.0,0,0,0,Spring,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2015,4,April,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,74.7,161,Unhealthy,145.0,14.9,0,0,0,Spring,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2015,5,May,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,59.6,153,Unhealthy,145.0,11.9,0,0,0,Summer/Monsoon,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2015,6,June,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,55.0,149,Unhealthy for Sensitive Groups,145.0,11.0,0,0,0,Summer/Monsoon,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2015,7,July,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,63.9,155,Unhealthy,145.0,12.8,0,0,1,Summer/Monsoon,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2015,8,August,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,80.4,164,Unhealthy,145.0,16.1,0,0,1,Summer/Monsoon,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2015,9,September,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,99.7,174,Unhealthy,145.0,19.9,0,0,1,Post-Monsoon,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2015,10,October,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,166.9,217,Very Unhealthy,145.0,33.4,1,1,0,Post-Monsoon,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2015,11,November,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,232.2,282,Very Unhealthy,145.0,46.4,1,1,0,Post-Monsoon,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2015,12,December,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,253.3,304,Hazardous,145.0,50.7,1,0,0,Winter (Smog Season),0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2016,1,January,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,255.6,306,Hazardous,138.0,51.1,1,0,0,Winter (Smog Season),0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2016,2,February,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,225.4,275,Very Unhealthy,138.0,45.1,1,0,0,Winter (Smog Season),0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2016,3,March,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,137.7,193,Unhealthy,138.0,27.5,0,0,0,Spring,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2016,4,April,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,74.5,161,Unhealthy,138.0,14.9,0,0,0,Spring,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2016,5,May,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,54.6,148,Unhealthy for Sensitive Groups,138.0,10.9,0,0,0,Summer/Monsoon,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2016,6,June,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,52.6,143,Unhealthy for Sensitive Groups,138.0,10.5,0,0,0,Summer/Monsoon,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2016,7,July,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,61.9,154,Unhealthy,138.0,12.4,0,0,1,Summer/Monsoon,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2016,8,August,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,76.2,162,Unhealthy,138.0,15.2,0,0,1,Summer/Monsoon,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2016,9,September,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,96.7,172,Unhealthy,138.0,19.3,0,0,1,Post-Monsoon,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2016,10,October,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,158.4,209,Very Unhealthy,138.0,31.7,1,1,0,Post-Monsoon,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
2016,11,November,Faisalabad,Punjab,Central Punjab,31.4187,73.0791,3.8,218.0,268,Very Unhealthy,138.0,43.6,1,1,0,Post-Monsoon,0,IQAir World Air Quality Report 2018-2025 / IQAir city pages / PMC research compilation / WHO AQLI 2025,Estimated (pre-monitoring era),,
